#IDXCOL=1,DATACOL=2,SEP=' '
timeStep areaDensityCountingNormed-PID3 areaSpeed-PID5
160 0.2602728921839244 0.9422141258698189
161 0.2602728921839244 0.9870742971597362
162 0.2602728921839244 0.938151187467081
163 0.2602728921839244 0.9623964405516728
164 0.276047006861738 0.9246136425166733
165 0.2997081788784584 0.997713483053134
166 0.3075952362173652 0.957121281028947
167 0.315482293556272 0.922697899323799
168 0.32336935089517876 0.9599278908437
169 0.3312564082340856 0.8991500664323905
170 0.3312564082340856 0.991067551335656
171 0.3312564082340856 0.859926299997324
172 0.33914346557299235 1.0188794426179004
173 0.37857875226752635 0.8955836148392285
174 0.37857875226752635 0.9822697549236253
175 0.37857875226752635 0.944665174411135
176 0.37857875226752635 0.96478974396476
177 0.39435286694534 0.9215387383561997
178 0.40223992428424676 0.9240060718153158
179 0.41801403896206035 0.9549397271262138
180 0.4259010963009672 0.91852117359802
181 0.4495622683176876 0.989311823566078
182 0.4495622683176876 0.9428726823383459
183 0.45744932565659435 0.9320447370453694
184 0.4653363829955012 0.9236270316647105
185 0.473223440334408 0.977175077348874
186 0.473223440334408 0.8906174556724586
187 0.473223440334408 0.9957328293114541
188 0.48111049767331476 0.891566643073317
189 0.49688461235112835 0.9751201885876696
190 0.512658727028942 0.92587097661218
191 0.5205457843678488 0.9739271315181354
192 0.5205457843678488 0.8788043148974768
193 0.5205457843678488 0.9859772807885188
194 0.5284328417067555 0.9052387522594824
195 0.5442069563845692 0.9773828960935943
196 0.5442069563845692 0.8987268300829967
197 0.552094013723476 0.9963457349223885
198 0.5599810710623828 0.8920128571788553
199 0.5678681284012895 0.9950684015665696
200 0.59152930041801 0.8730152475022241
201 0.59152930041801 0.9828973123175268
202 0.5994163577569168 0.9097996252115638
203 0.5994163577569168 0.9902036120711109
204 0.6073034150958235 0.8674534114926351
205 0.6151904724347304 0.9385341312018073
206 0.6230775297736372 0.9149358496000803
207 0.6467387017903575 0.9453685097987565
208 0.6467387017903575 0.9300660355371578
209 0.6625128164681712 0.9739475109716363
210 0.6625128164681712 0.9382975639244858
211 0.670399873807078 0.9615852111792409
212 0.6940610458237984 0.9423986453521799
213 0.709835160501612 0.927774623448557
214 0.6940610458237984 0.936171436123939
215 0.7019481031627052 0.9497103081319233
216 0.709835160501612 0.92426547582265
217 0.7256092751794255 0.9464325630617546
218 0.7256092751794255 0.8959939357056573
219 0.7413833898572392 0.9430088636100683
220 0.749270447196146 0.9240492006766964
221 0.7571575045350527 0.9664461224640725
222 0.7650445618739595 0.8976883777931707
223 0.7571575045350527 1.0113081161366437
224 0.7808186765517732 0.8786391407886648
225 0.7808186765517732 0.9563660589139652
226 0.78870573389068 0.8834009805809414
227 0.78870573389068 0.9450428373080213
228 0.7729316192128663 0.9326760472239418
229 0.8044798485684935 0.9263769454092362
230 0.8044798485684935 0.9608134611129285
231 0.8123669059074003 0.8934533932144516
232 0.8123669059074003 0.9673811138047161
233 0.8123669059074003 0.9032353652970484
234 0.8202539632463072 0.955945848480319
235 0.8360280779241207 0.8958100309972187
236 0.8202539632463072 0.9057320613459635
237 0.8202539632463072 0.9072680919511663
238 0.828141020585214 0.895076691289806
239 0.828141020585214 0.9699525313514007
240 0.8202539632463072 0.886158857131461
241 0.8360280779241207 0.9564945994658762
242 0.8518021926019343 0.860825780026274
243 0.8518021926019343 0.8835548816467161
244 0.867576307279748 0.902688256626314
245 0.8596892499408412 0.9233203997343231
246 0.8596892499408412 0.919179304202808
247 0.8754633646186547 0.9071437618926873
248 0.867576307279748 0.8885731775789724
249 0.8833504219575615 0.910399557088722
250 0.8754633646186547 0.8933736256051565
251 0.8754633646186547 0.9504881665256717
252 0.8991245366353752 0.8959218494165955
253 0.907011593974282 0.9804030430099298
254 0.9148986513131887 0.8998743762871679
255 0.8991245366353752 0.9132024536989131
256 0.8991245366353752 0.9268579692669815
257 0.8991245366353752 0.9070155154028521
258 0.9227857086520955 0.9276269601280552
259 0.9385598233299092 0.9068171384130934
260 0.9227857086520955 0.9129472994258351
261 0.9385598233299092 0.8823658387667507
262 0.9385598233299092 0.8856286793713805
263 0.9701080526855363 0.9505892508541752
264 0.946446880668816 0.9098008568048229
265 0.9385598233299092 0.8852375142232699
266 0.9306727659910023 0.8702631554350622
267 0.9385598233299092 0.8790615880763766
268 0.946446880668816 0.9022908392467865
269 0.946446880668816 0.9045031907549583
